Age,Gender,Residential,EmploymentStatus,MaritalStatus,HouseholdCategory,OftenTravel,TravellingFor,YearlyTravel,StayDuration,PeopleDuringTravel,LodgingBudget,Seasons,LodgingLocation,LodgingType
65,Female,Urban,Retired,Married,B40,No,Businesses,5,5,5,1000,"Year-round, I travel regularly",Countryside,Hotels
67,Female,Urban,Retired,Married,M40,No,Businesses,3,3,1,200,Autumn,Beachfront,Hotels
63,Female,Urban,Retired,Married,B40,No,Businesses,1,3,8,400,Summer,City Centers,Hotels
65,Female,Rural,Retired,Married,B40,No,Holiday,3,3,2,100,"Year-round, I travel regularly",Nature,Airbnb
65,Female,Urban,Retired,Married,B40,Yes,Holiday,2,8,6,400,"Year-round, I travel regularly",Countryside,Airbnb
67,Female,Urban,Employed part-time,Married,B40,Yes,Holiday,2,7,4,550,Spring,Nature,Airbnb
70,Female,Urban,Retired,Married,B40,No,Holiday,2,3,4,600,Autumn,City Centers,Hotels
65,Female,Urban,Retired,Widowed,B40,Yes,Holiday,4,5,4,300,"Year-round, I travel regularly",Nature,Airbnb
24,Female,Urban,Student,Single,T20,Yes,Holiday,5,4,6,900,Winter,City Centers,Hotels
65,Female,Urban,Retired,Married,M40,Yes,Holiday,5,3,6,250,"Year-round, I travel regularly",City Centers,Airbnb
25,Female,Urban,Employed full-time,Single,M40,No,Holiday,3,3,6,850,Spring,Beachfront,Hotels
57,Male,Urban,Retired,Married,T20,Yes,Businesses,3,5,4,1000,Winter,City Centers,Hotels
33,Female,Urban,Employed full-time,Widowed,T20,Yes,Both,6,14,4,300,Autumn,Countryside,Airbnb
60,Female,Urban,Retired,Widowed,T20,Yes,Holiday,3,3,6,250,Spring,Nature,Airbnb
56,Female,Urban,Retired,Widowed,M40,No,Holiday,6,4,10,1000,"Year-round, I travel regularly",Nature,Hotels
27,Female,Urban,Employed full-time,Single,B40,Yes,Holiday,1,3,4,400,Autumn,Nature,Airbnb
50,Female,Rural,Unemployed,Married,B40,Yes,Holiday,1,4,5,600,Spring,Countryside,Airbnb
64,Female,Urban,Student,Married,B40,Yes,Holiday,3,5,4,400,Spring,Nature,Airbnb
45,Male,Rural,Student,Married,B40,Yes,Both,6,15,5,150,"Year-round, I travel regularly",Countryside,Airbnb
